ID,show_title,TV_rating,IMDB_total_votes,IMDB_rating,seasons,total_episodes,start_date,end_date,duration,network,genre
tt10482560,Kipo and the Age of Wonderbeasts,TV-Y7,4935,8.2,3,30,1/14/2020,10/12/2020,272,Netflix,"action, adventure, comedy, fantasy, science fiction"
tt11237954,Loafy,none listed,69,6.7,1,8,8/8/2020,9/5/2020,28,Comedy Central,comedy
tt11714912,Madagascar: A Little Wild,TV-Y,182,5.7,6,37,9/7/2020,,509,"Hulu, Peacock","adventure, comedy, family, musical"
tt7683028,Magical Girl Friendship Squad: Origins,TV-MA,699,1.8,1,6,1/1/2020,1/1/2020,35,SyFy,"comedy, short"
tt9811118,Marvel's M.O.D.O.K.,TV-MA,4399,6.3,1,10,5/21/2021,5/21/2021,0,Hulu,"action, comedy, crime, thriller"
tt9165454,Middle School Moguls,TV-Y7,47,7.4,1,4,9/8/2019,9/29/2019,21,Nickelodeon,"adventure, comedy, short"
tt3038546,Mike Tyson Mysteries,TV-14,4631,8.1,4,70,10/27/2014,2/16/2020,1938,Adult Swim,"adventure, comedy, crime, fantasy, horror, mystery, science fiction"
tt0197148,Mission Hill,TV-14,5037,7.7,1,13,9/21/1999,8/11/2002,1055,The WB,"comedy, drama"
tt0476922,Moral Orel,TV-MA,5657,7.9,3,43,12/13/2005,12/18/2008,1101,Adult Swim,"comedy, drama"
tt1751105,My Little Pony: Friendship is Magic,TV-Y,20332,7.6,9,221,10/10/2010,5/25/2020,3515,The Hub,"adventure, comedy, drama, family, fantasy, musical"
tt8011944,Nomad of Nowhere,none listed,347,7.3,1,12,3/16/2018,9/21/2018,189,Rooster Teeth,"adventure, fantasy, science fiction, western"
tt6965802,OK K.O.! Let's Be Heroes,TV-Y7,2690,6.5,3,112,6/13/2017,9/6/2019,815,Cartoon Network,"action, adventure, comedy, family, fantasy, science fiction"
tt12605636,Onyx Equinox,TV-MA,415,7.1,1,12,11/21/2020,12/26/2020,35,Crunchyroll Originals,"action, adventure, drama, fantasy, horror"
tt8235236,Paradise PD,TV-MA,17550,6.8,3,30,8/31/2018,3/12/2021,924,Netflix,"action, comedy, crime"
tt6148744,Pete the Cat,TV-Y,304,7.7,2,35,12/25/2017,11/4/2021,1410,"YouTube, Amazon Prime","comedy, family"
tt10140028,Q-Force,TV-MA,4524,6.4,1,10,9/2/2021,9/2/2021,0,Netflix,"action, adventure, comedy, crime, fantasy, science fiction"
tt0372707,Queer Duck,TV-14,232,5.7,1,20,10/11/2000,5/15/2002,581,"Showtime, Webseries","comedy, short"
tt0401747,Red vs. Blue,TV-MA,9297,8.3,18,364,4/1/2003,12/28/2020,6481,Web Series,"action, adventure, comedy, fantasy, science fiction, short"
tt0837014,Rick & Steve: The Happiest Gay Couple in All the World,TV-MA,965,6.1,2,14,7/10/2007,1/27/2009,567,LOGO TV,comedy
tt2861424,Rick and Morty,TV-MA,454359,9.2,5,51,12/2/2013,,2980,Adult Swim,"action, comedy, science fiction"
tt13351440,Ridley Jones,TV-Y,193,4.2,2,11,7/13/2021,7/13/2021,0,Netflix,"adventure, comedy, family, fantasy, musical"
tt8741368,Rugrats (2021),TV-Y7,920,3.6,1,14,5/27/2021,5/27/2021,0,Paramount +,"adventure, comedy, family, fantasy, mystery, short"
tt3066242,RWBY,TV-PG,5922,7.6,8,106,11/5/2012,,3372,"Rooster Teeth, Amazon Prime, YouTube","action, adventure, comedy, drama, fantasy, science fiction, thriller"
